Department,Department Name,Division,Gender,Base Salary,2020 Overtime Pay,2020 Longevity Pay,Grade
DOT,Department of Transportation,Parking Management Parking Operations,M,68575,0,2138.4,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,90848,7651.83,1887.84,21
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,62820.69,9503.19,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,8447.21,2138.4,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,7513.82,2138.37,15
DOT,Department of Transportation,Highway Administration,M,115099,0,0,26
DOT,Department of Transportation,Highway Services,M,55461.1,4333.5,0,14
DOT,Department of Transportation,Highway Services,M,65464,3874.02,1814.4,14
DOT,Department of Transportation,Transit Nicholson Ride On,F,65993.03,5923.84,0,15
DOT,Department of Transportation,Highway Services,M,97649.72,31126.62,0,24
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,0,2138.4,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,90848,4504.23,0,21
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,2167.71,4337.28,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53933.48,8847.5,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,65020.14,12843.05,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,66161.17,19230.42,0,15
DOT,Department of Transportation,Highway Services,F,62488,1216.76,0,13
DOT,Department of Transportation,Transit Nicholson Ride On,F,29032.79,1420.99,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,68575,6271.38,2100.13,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,67868.2,10536.59,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575,7321.13,2138.4,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,60373.49,5424.35,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,67868.2,18929.95,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,88083.48,9219.66,0,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,10052.12,0,15
DOT,Department of Transportation,Highway Services,M,51955,1788.72,3247.2,9
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,5892.44,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,63553.81,481.26,0,17
DOT,Department of Transportation,Transit Nicholson Ride On,F,65994.53,5627.98,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,4402.66,2138.4,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,10772.28,2138.4,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,9770.82,2138.4,15
DOT,Department of Transportation,Commuter Services Trips,M,66308.67,0,4194.72,13
DOT,Department of Transportation,Transit Safety and Instruction,F,72358,5120.57,0,19
DOT,Department of Transportation,Highway Services,F,65464,2771.8,2041.2,14
DOT,Department of Transportation,Transit Silver Spring Ride On,F,62820.68,5712.17,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575,31758.19,4337.28,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,62787.67,2156.83,0,15
DOT,Department of Transportation,Parking Management Parking Operations,M,60390.02,0,0,15
DOT,Department of Transportation,Highway Services,M,53823.08,9607.06,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575,9319.63,2138.4,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,63553.79,17193.36,0,17
DOT,Department of Transportation,Highway Services,M,65464,2554.31,4140.72,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,65993.03,12026.74,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,3695.21,2124.6,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,3352.06,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,75290,0,1268.45,17
DOT,Department of Transportation,Transit Nicholson Ride On,M,75290,13394.31,2345.76,17
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,5434.32,3421.64,15
DOT,Department of Transportation,Highway Services,F,61892.87,6498.19,0,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,57495.3,8078.43,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575,9445.69,2138.4,15
DOT,Department of Transportation,Traffic Engineering Studies Section,M,128781.73,0,0,M3
DOT,Department of Transportation,Transit Central Communication,M,123152.7,0,506.88,M3
DOT,Department of Transportation,Transit Nicholson Ride On,M,59800,1697.92,0,15
DOT,Department of Transportation,Transportation Technical Center,M,78902,11381.9,2460.24,18
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,68575,0,0,15
DOT,Department of Transportation,Transit Safety and Instruction,M,82691,7928.32,0,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57777.68,636.82,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,57776.16,3143.24,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,12830.4,4337.28,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,2122.84,1742.4,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,748.23,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,59800,3690.36,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575,7629.31,2130.49,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45409.52,8655.07,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,1212.33,0,15
DOT,Department of Transportation,Highway Services,M,66828.75,3689.95,0,15
DOT,Department of Transportation,Transit Operations and Planning,F,109761,0,0,25
DOT,Department of Transportation,Transit COS Taxicab Regulation,M,91806.19,0,0,26
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,68575,9768.65,1259.23,15
DOT,Department of Transportation,Transportation Technical Center,M,86669,5570.03,5482.08,20
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,3191.14,2138.4,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,6125.34,1663.28,15
DOT,Department of Transportation,Highway Services,M,78902,15641.78,1639.44,18
DOT,Department of Transportation,Transportation Construction Section,M,128638.9,0,0,M3
DOT,Department of Transportation,Transit Nicholson Ride On,M,56102.37,3945.78,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,57776.16,2386.27,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,15193.48,1346.4,15
DOT,Department of Transportation,Highway Services,M,71852,8432.94,2239.92,16
DOT,Department of Transportation,Transit Central Communication,M,78902,1077.2,3929.6,18
DOT,Department of Transportation,Traffic Engineering and Operations,F,62488,0,0,13
DOT,Department of Transportation,Highway Services,M,67832.9,7736.73,0,15
DOT,Department of Transportation,Highway Services,M,68575,4721.8,4337.28,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,55821.43,10061.32,0,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,66422.43,3121.32,0,15
DOT,Department of Transportation,Traffic Engineering Studies Section,M,108112.8,0,0,25
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,10473.31,2138.4,15
DOT,Department of Transportation,Highway Services,M,65464,14175.08,2041.2,14
DOT,Department of Transportation,Transportation Technical Center,M,78902,9758.4,2460.24,18
DOT,Department of Transportation,Highway Services,M,59412.65,7614.96,0,14
DOT,Department of Transportation,Transit Nicholson Ride On,F,67868.2,1719.54,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,60697.79,905.66,0,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,59660,86.05,0,12
DOT,Department of Transportation,Transit Silver Spring Ride On,M,61892.87,10688.33,0,15
DOT,Department of Transportation,Highway Services,M,65464,8728.75,2041.2,14
DOT,Department of Transportation,Transit Operations and Planning,F,90848,0,725.42,21
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,0,481.92,15
DOT,Department of Transportation,Highway Services,M,60903.47,7499.93,0,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,14934.5,2138.4,15
DOT,Department of Transportation,Sign and Marking Shop,M,52007.96,5776.03,0,12
DOT,Department of Transportation,Transit Nicholson Ride On,M,58065.95,1059.7,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,65303.91,7545.81,0,15
DOT,Department of Transportation,Highway Services,M,60272.49,2278.63,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,65993.03,3298.35,0,15
DOT,Department of Transportation,Highway Services,M,65464,2904.89,2300.4,14
DOT,Department of Transportation,Highway Services,M,65464,3055.15,2300.4,14
DOT,Department of Transportation,Transportation Management,M,66700.39,2044.35,0,23
DOT,Department of Transportation,Transportation Construction Section,M,99852,5040.77,0,23
DOT,Department of Transportation,Commuter Services,M,90848,0,0,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,67925.24,2234.96,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,75290,25977.84,2345.76,17
DOT,Department of Transportation,Highway Services,M,58234.15,7905.13,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,3875.72,4337.28,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,98352.31,0,0,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,55821.43,4469.81,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575,7694.51,2138.4,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,2408.14,2138.4,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,62820.68,8203.74,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575,83.12,0,15
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,109761,0,0,25
DOT,Department of Transportation,Highway Services,F,64057.82,7055.96,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,29366.36,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61892.87,19520.27,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58065.95,12669.35,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,13305.35,2118.19,15
DOT,Department of Transportation,Highway Services,M,65464,9265.64,4140.72,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,67868.2,12571.95,0,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,58234.18,0,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,59800,2735.5,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,5577.68,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575,4487.61,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,57776.16,1311.51,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,19785.02,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60697.79,1485.26,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,64722.91,5694.96,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,63553.78,13867.22,0,17
DOT,Department of Transportation,Transit Silver Spring Ride On,M,90848,7960.27,0,21
DOT,Department of Transportation,Transit Central Communication,M,70105.98,7583.71,0,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,12213.65,2376,15
DOT,Department of Transportation,Transit Central Communication,F,78902,1149.41,242.88,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,75290,9349.89,4404.72,17
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,62820.68,13140.2,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,936.73,0,15
DOT,Department of Transportation,Highway Services,M,68575,9511.02,1900.8,15
DOT,Department of Transportation,Highway Administration,M,95236,7574.7,0,22
DOT,Department of Transportation,Parking Management Parking Operations,M,53094.51,0,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,4338.48,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60373.49,27371,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,4730.86,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,57776.16,6031.52,0,15
DOT,Department of Transportation,Highway Services,M,57402.35,13317.18,0,14
DOT,Department of Transportation,Highway Services,M,63646.42,5801.43,0,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,65993.03,4988.05,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,57776.16,3541.87,0,15
DOT,Department of Transportation,Commuter Services,F,90848,0,0,21
DOT,Department of Transportation,Transit Nicholson Ride On,F,62820.68,3011.97,0,15
DOT,Department of Transportation,Highway Services,M,57402.35,7291.11,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,11768.99,2138.4,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,68575,5811.08,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,59800,9604.41,0,15
DOT,Department of Transportation,Transit Central Communication,M,78902,10066.36,3929.6,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,68575,25160.3,2138.4,15
DOT,Department of Transportation,Transit Special Transportation and Medicaid,M,132599.71,0,0,M3
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,75290,9746.43,0,17
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,75290,1090.7,2345.76,17
DOT,Department of Transportation,Highway Services,M,68575,2938.02,1285.12,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,12355.93,2130.48,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575,11118.15,4337.28,15
DOT,Department of Transportation,Transit Management Services,F,99852,0,0,23
DOT,Department of Transportation,Transit Silver Spring Ride On,M,65018.66,2954.07,0,15
DOT,Department of Transportation,Highway Services,M,53822.69,1009.26,0,15
DOT,Department of Transportation,Highway Services,M,101065.65,36513.64,0,24
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,5926.89,4337.28,15
DOT,Department of Transportation,Parking Management Parking Operations,M,62488,47.81,3952.8,13
DOT,Department of Transportation,Transit Silver Spring Ride On,F,68575,25674.78,1979.98,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,16554,4271.11,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,3148.29,0,15
DOT,Department of Transportation,Highway Services,M,65464,2650.22,3518.64,14
DOT,Department of Transportation,Parking Management Parking Operations,M,78492.58,328.15,0,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,60697.79,10341.71,0,15
DOT,Department of Transportation,Highway Services,M,57402.35,2503.7,0,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,62820.7,14593.01,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,4002.18,4337.28,15
DOT,Department of Transportation,Highway Services,M,82210.03,28284.17,0,24
DOT,Department of Transportation,Transit Nicholson Ride On,F,90848,5378.93,0,21
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,6026.25,4337.28,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,3328.37,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,67869.72,2011.03,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,14497.85,2138.4,15
DOT,Department of Transportation,Highway Services,M,53584.42,6558.81,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,5163.04,4337.28,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,5245.12,4337.28,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,65994.53,6493.46,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,60697.78,598.47,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60697.79,8988.54,0,15
DOT,Department of Transportation,Highway Services,M,104680,15939.51,2175.12,24
DOT,Department of Transportation,Highway Services,M,59412.66,7319.44,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,62820.7,2543.7,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,69104.41,20666.45,0,17
DOT,Department of Transportation,Transit Silver Spring Ride On,F,60697.79,36506.38,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57776.16,532.5,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,65303.91,1434.5,0,15
DOT,Department of Transportation,Transit COS Taxicab Regulation,M,109761,0,0,25
DOT,Department of Transportation,Highway Services,M,68575,8030.32,1980,15
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,144751,0,0,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,11193.87,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68575,9696.5,4337.26,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,68575,4905.64,2138.4,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,57776.16,4265.04,0,15
DOT,Department of Transportation,Highway Services,M,56386,11842.66,0,18
DOT,Department of Transportation,Transportation Technical Center,M,78902,9446.28,0,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,7875.93,0,15
DOT,Department of Transportation,Highway Administration,M,82691,3369.38,0,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,52109.64,2295,0,15
DOT,Department of Transportation,Highway Administration,M,75571.59,6315.79,0,22
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53932.73,590.6,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,12877.53,0,15
DOT,Department of Transportation,Highway Services,F,40289,5009.42,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57319.92,10758.04,0,17
DOT,Department of Transportation,Transit Silver Spring Ride On,M,41971,4465.49,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53933.48,4115.73,0,15
DOT,Department of Transportation,Highway Administration,M,82691,4472.65,0,19
DOT,Department of Transportation,Highway Administration,M,69697.14,5125.49,0,22
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44959.81,657.24,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,55820.39,15299.62,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,55833.44,13486.8,0,15
DOT,Department of Transportation,Highway Administration,M,83137.05,0,0,25
DOT,Department of Transportation,Transit Nicholson Ride On,M,58738.62,7131.31,0,17
DOT,Department of Transportation,Transit Nicholson Ride On,M,49848.5,569.6,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53933.48,27387.01,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53932.73,12480.61,0,15
DOT,Department of Transportation,Highway Administration,M,75572.25,3867.36,0,22
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53933.48,2666.93,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53933.5,5980.87,0,15
DOT,Department of Transportation,Transit Operations and Planning,M,42216.82,0,0,8
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,48266.63,973.84,0,12
DOT,Department of Transportation,Transit Central Communication,M,59403.93,11404.29,0,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53933.48,1994.98,0,15
DOT,Department of Transportation,Development Review,M,109761,0,0,25
DOT,Department of Transportation,Transportation Technical Center,M,60336.14,5004.6,0,18
DOT,Department of Transportation,Transit Silver Spring Ride On,F,53399.48,3685.31,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48162.8,1467.12,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,6006.72,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,12216.33,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,1828.39,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,46533.74,6828.5,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,19503.5,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,5213.68,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,53399.48,6891.87,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,5348.02,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,4182.59,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,41971,2880.53,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,17127.7,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,566.95,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,1260.18,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.74,2886.48,0,15
DOT,Department of Transportation,Transit Special Transportation and Medicaid,F,90848,0,0,21
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.49,7576.42,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,51955,5657.97,0,9
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.5,2980.62,0,15
DOT,Department of Transportation,Highway Services,M,62509.23,21660.94,0,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,77254.9,9527.26,0,19
DOT,Department of Transportation,Highway Services,M,51260.09,10258.72,0,14
DOT,Department of Transportation,Highway Services,M,53823.09,6366.03,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58060.37,6204.44,0,15
DOT,Department of Transportation,Transit Operations and Planning,F,56069.46,2102.73,0,16
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,864.64,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,51593.71,7332.79,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,7086.31,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,12856.27,0,15
DOT,Department of Transportation,Highway Services,M,51260.1,6691.29,0,14
DOT,Department of Transportation,Traffic Engineering and Operations,F,49014.01,0,0,13
DOT,Department of Transportation,Highway Services,M,56386.11,13581.76,0,18
DOT,Department of Transportation,Parking Management Parking Operations,F,45425.06,65.52,0,11
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,17714.28,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,2911.43,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.76,2075.59,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,7609.62,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.76,4333.02,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,11150.5,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,54739.54,4793.52,0,15
DOT,Department of Transportation,Transit Safety and Instruction,M,126341.74,0,0,M3
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,6709.91,0,15
DOT,Department of Transportation,Highway Services,M,58738.64,7289.76,0,14
DOT,Department of Transportation,Transit Special Transportation and Medicaid,F,50220.63,0,0,16
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,66306.52,1432.29,0,22
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58738.64,8446.76,0,17
DOT,Department of Transportation,Director Transportation Policy,M,120703,0,0,27
DOT,Department of Transportation,Highway Services,M,51260.1,4288.36,0,14
DOT,Department of Transportation,Highway Services,M,51259.73,4731.97,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58738.64,18956.14,0,17
DOT,Department of Transportation,Highway Services,M,51260.1,5965.54,0,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.76,12681.34,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,38150.62,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,55267.71,7558.97,0,15
DOT,Department of Transportation,Highway Services,M,53823.09,26064.71,0,15
DOT,Department of Transportation,Highway Services,M,51260.1,7099.09,0,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,8776.33,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,1515.52,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,41971,1989.45,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,53399.48,1328.06,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.75,3289.71,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,8076.82,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.75,0,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,21093.57,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.75,4698.89,0,15
DOT,Department of Transportation,Traffic Engineering and Operations Management Services,F,99852,792.11,0,23
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,79446.52,4870.04,0,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,53398.74,16118.83,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,15335.06,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,1701.58,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,4836.66,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53398.74,2268.48,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53398.74,207.51,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,84980.39,1936.09,0,20
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,7728.82,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.49,1194.06,0,15
DOT,Department of Transportation,Highway Services,M,52465.91,8135.01,0,15
DOT,Department of Transportation,Highway Services,M,51260.09,18447.21,0,14
DOT,Department of Transportation,Highway Services,M,51260.09,6358.59,0,14
DOT,Department of Transportation,Highway Services,M,51260.09,8465.76,0,14
DOT,Department of Transportation,Director Management Services,F,74323.93,0,0,17
DOT,Department of Transportation,Transportation Management,M,56752.39,12196.92,0,19
DOT,Department of Transportation,Highway Services,M,51260.09,3031.4,0,14
DOT,Department of Transportation,Highway Services,F,41698.64,5262.74,0,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,12990.74,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,10529.96,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.49,4536.22,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.49,1915.06,0,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,47444.82,2138.61,0,12
DOT,Department of Transportation,Transit COS Taxicab Regulation,F,84161.41,0,0,21
DOT,Department of Transportation,Highway Services,M,49967.55,6864.71,0,14
DOT,Department of Transportation,Parking Management Administration,M,91467.44,0,0,25
DOT,Department of Transportation,Highway Services,M,56386.11,9878.48,0,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,2117.19,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,18047.42,0,15
DOT,Department of Transportation,Transit Operations and Planning,M,56069.47,2689.08,0,16
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,7333.79,0,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58739.46,4164.42,0,17
DOT,Department of Transportation,Transit Nicholson Ride On,M,48871.56,2733.01,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.47,2942.26,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53399.48,2005.31,0,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,53399.48,6314.86,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,79958.82,7140.73,0,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,53399.48,9400.11,0,15
DOT,Department of Transportation,Transit Safety and Instruction,M,62924.4,2770.59,0,19
DOT,Department of Transportation,Transit Nicholson Ride On,F,53399.48,0,0,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,88083.03,8147.34,0,21
DOT,Department of Transportation,Ride On Operations,M,141130.17,0,0,M2
